car,6154
bmw,4004
like,2161
one,1930
would,1802
get,1698
dont,1593
audi,1542
3,1406
acura,1376
tl,1267
think,1259
well,1196
new,1195
even,1099
better,1092
im,1070
much,1066
cts,1058
drive,1021
good,987
lexus,950
sedan,931
also,893
luxury,890
know,860
people,856
price,847
performance,843
years,830
really,830
want,829
series,822
infiniti,780
time,778
back,772
thats,761
2,726
driving,725
pontiac5,713
still,712
seat,706
could,705
see,705
make,701
way,692
buy,671
best,670
ive,664
5,664
say,646
interior,642
honda,636
go,578
many,574
volvo,573
manual,572
year,564
less,563
going,553
sport,546
great,540
engine,529
never,517
miles,516
look,512
doesnt,509
cost,497
cant,495
said,490
since,489
class,484
take,482
right,481
awd,480
point,474
lot,470
problem,464
first,463
4,463
agree,462
nissan,454
id,450
6,448
ellps,445
looking,444
two,444
nice,442
little,440
every,439
something,439
need,438
got,437
thing,437
sure,434
around,434
may,427
us,423
feel,418
power,417
actually,417
find,417
benz,416
mercedesbenz,412
toyota,411
model,408
though,408
vehicle,407
last,406
isnt,404
however,402
tires,400
handling,399
used,398
test,396
rwd,390
pretty,387
maybe,387
far,385
probably,380
money,378
another,375
value,375
package,373
big,372
lincoln,371
didnt,371
old,368
different,361
leather,360
1,358
hp,357
gm,356
quality,354
put,352
vehicles,351
least,350
looks,345
lease,344
ill,344
difference,343
fwd,342
long,340
ever,337
etc,335
cadillac,335
transmission,334
made,334
without,332
dealer,332
might,332
makes,331
getting,330
kiahyundai,329
youre,328
use,327
g,323
drove,320
fun,315
either,315
almost,309
bit,309
real,306
enough,305
end,305
top,304
front,303
come,302
next,301
bad,301
rear,298
regardsow,294
is350,294
guess,293
yes,292
rocky,291
current,290
keep,290
system,290
seems,290
vs,289
high,287
list,286
weight,285
msrp,285
driven,285
others,285
always,283
sports,283
experience,282
p,278
believe,277
anything,276
auto,276
yet,275
automatic,273
sales,272
post,270
hard,270
base,269
reliability,268
fact,267
bought,264
segment,264
based,264
compared,260
0,260
pay,260
models,258
deal,257
read,256
thought,256
course,255
level,254
speed,254
options,254
nothing,254
quite,252
coupe,251
expensive,250
road,250
tell,247
volkswagen,247
things,246
size,245
line,244
comes,243
ford,242
reason,240
warranty,239
love,237
buying,237
suspension,235
give,234
entry,234
brand,232
market,231
day,231
close,230
option,229
ago,225
ride,224
anyone,223
gas,223
buick,222
v6,222
small,220
talking,219
add,219
torque,219
part,217
else,216
mb,216
wheel,215
forum,215
bmws,214
TRUE,213
mean,210
steering,210
discussion,209
2007,209
standard,209
hyundai,208
work,208
maintenance,207
wrong,206
features,206
consider,206
wont,203
wheels,201
couple,198
worth,198
wouldnt,198
someone,198
offer,197
premium,197
stick,197
case,195
trying,195
try,194
costs,192
months,190
sell,189
service,188
edmunds,188
choice,187
issues,186
low,186
second,186
arent,185
mileage,185
available,184
higher,184
335,184
japanese,183
saying,182
mazda,181
especially,181
came,180
driver,179
tls,179
7,178
2008,178
today,177
lbs,177
seen,177
care,176
theres,175
saab,175
fit,174
thanks,174
imo,174
let,174
mpg,174
turbo,174
caddy,173
gets,173
track,173
ed,171
place,171
times,170
fine,169
days,168
change,168
found,168
world,167
sporty,167
issue,167
plus,167
lets,166
wife,166
porsche,166
seem,166
given,165
german,165
extra,164
fuel,164
ctsv,164
numbers,163
rather,163
owned,163
went,162
sound,161
oh,161
chevrolet,160
everything,160
must,160
resale,159
definitely,159
winter,158
150,158
matter,157
2006,157
wanted,157
kind,156
factor,156
certainly,156
loaded,156
330i,156
making,155
kiahyundaii,155
took,154
done,154
instead,154
three,154
owners,153
side,153
run,152
already,152
due,152
pontiac,152
snow,152
yeah,151
room,151
set,151
mph,151
surprise,151
fast,151
oil,151
free,151
is250,150
able,150
live,149
several,149
exactly,148
away,146
similar,146
interesting,146
compare,146
opinion,146
unless,146
cheaper,145
understand,145
per,145
drivers,145
family,144
30k,144
c,144
door,143
space,143
10,143
audis,142
version,142
repair,141
american,140
wasnt,140
sold,140
perhaps,140
mind,140
6speed,140
average,139
reliable,139
buyers,139
comparison,139
control,139
911,138
sorry,138
remember,138
show,138
although,138
start,137
month,137
8,137
prices,136
please,136
check,136
parts,135
personal,135
brakes,135
personally,135
e46,134
design,134
heavy,134
theyre,134
considering,133
call,133
near,133
considered,133
previous,133
btw,133
order,133
type,132
europe,132
httpwww,132
bigger,131
bimmer,131
felt,130
everyone,129
tranny,128
brake,128
dealership,128
imho,127
except,127
lower,127
drives,127
question,126
s4,126
purchase,126
e90,126
goes,125
example,125
mentioned,125
regardsshipo,125
havent,124
coming,123
40k,123
range,123
hope,123
past,122
8,122
confuse,122
category,122
wants,121
short,121
kiahyundaithe,121
built,121
cheap,120
number,120
move,120
100,120
turn,119
happy,119
light,119
dealers,118
guys,118
behind,118
looked,118
european,118
person,118
7,117
guy,116
idea,116
smaller,116
nav,116
mile,116
needs,116
inside,115
rest,115
means,115
talk,115
comparing,115
300,115
60,115
company,114
perfect,114
faster,114
comfort,114
likely,113
enjoy,113
tire,113
mine,113
simply,113
wood,113
acuras,112
heard,112
couldnt,112
dodge,112
wait,112
styling,112
trim,112
manufacturers,111
often,111
subaru,110
whole,110
folks,110
important,110
longer,110
ones,110
huge,109
hand,109
9,109
doubt,109
pricing,109
left,109
hit,109
stuff,108
e,108
liked,108
spend,108
engines,108
feels,107
including,107
decision,107
posts,107
highway,107
ok,107
20,107
handles,107
youll,107
lack,107
thinking,106
u,105
acceleration,105
style,105
2004,105
called,105
straight,104
sense,104
included,104
buyer,104
328,104
platform,103
0t,103
competition,102
seconds,102
prestige,102
factory,102
easy,102
home,101
interiors,101
diesel,101
says,101
seriously,100
equipped,100
comfortable,100
horsepower,100
terms,100
14,100
nearly,100
generation,100
exterior,99
v8,99
usually,99
whats,99
6,99
full,98
life,98
cpo,98
soft,98
stop,97
head,97
board,97
week,97
aluminum,97
group,96
anyway,96
total,96
area,96
larger,95
local,95
possible,95
sounds,95
using,94
comments,94
handle,94
0,94
lots,93
overall,93
paid,93
help,93
2009,93
dynamics,92
safety,92
save,92
half,92
none,92
hear,92
cars,92
whether,92
manufacturer,92
2005,92
tax,92
later,91
pick,91
alone,91
prefer,91
saw,91
roads,91
excellent,90
assume,90
brands,90
paying,90
reasons,90
50,90
thread,90
lighter,90
large,89
easily,89
mention,89
future,88
priced,88
completely,88
weeks,88
repairs,88
discount,88
chassis,88
added,87
original,87
major,87
plastic,87
gs,86
hondaing,86
replace,86
posted,86
30,86
bottom,85
poor,85
afford,85
gone,85
selling,85
told,85
build,85
ask,84
ls,84
shift,84
currently,84
smooth,83
lux,83
offered,83
amount,83
normal,83
mark,83
beat,83
interest,82
decent,82
owner,82
four,82
cannot,82
body,82
wonder,82
taking,81
name,81
along,81
fan,81
60,80
fully,80
depreciation,80
350,80
started,80
